Region,Year,LPI,LPI_upper,LPI_lower
North America,2008,73.19164,99.24884,54.342383000000005
North America,2009,72.78037,99.07809,53.75991
North America,2010,72.07213,98.60414,53.030676
North America,2011,71.83682300000001,98.56849,52.636987000000005
North America,2012,70.69316,97.48509,51.549035
North America,2013,69.847405,96.694535,50.62183
North America,2014,69.22380299999999,96.270025,49.837613
North America,2015,69.80753,97.210073,50.08576
North America,2016,69.36165,96.84109,49.605286
North America,2017,68.66212,96.21347,48.981172
North America,2018,66.51272,93.616486,47.361547
North America,2019,64.22505,90.66618,45.685416
North America,2020,60.95505,86.24542,43.291467
World,1970,100.0,100.0,100.0
World,1971,99.406844,101.59934,97.358286
World,1972,98.14285,101.83257,94.61055
World,1973,96.61677,101.14101,92.208695
World,1974,94.809854,100.25399,89.58937999999999
World,1975,92.655015,98.937094,86.78831500000001
World,1976,89.991647,96.91421,83.68637
World,1977,86.367744,93.390256,79.97391
World,1978,82.86782000000001,89.899683,76.46518
World,1979,80.259967,87.47364,73.666024
World,1980,78.43339,85.9839,71.546197
World,1981,77.014565,84.86694700000001,69.877255
World,1982,74.73171400000001,82.62671999999999,67.60401999999999
World,1983,72.17754,80.02931,65.15689
World,1984,69.707686,77.48042000000001,62.77902
World,1985,67.67479,75.47232000000001,60.769224
World,1986,66.16929999999999,73.98204,59.270376
World,1987,64.42259,72.228897,57.558960000000006
World,1988,62.67535,70.365506,55.85408
World,1989,61.357963000000005,68.98210999999999,54.568404
World,1990,60.09213,67.74154300000001,53.296600000000005
World,1991,58.816165,66.497713,52.00585
World,1992,57.28322,64.97869,50.5043
World,1993,55.24195400000001,62.799525,48.570102
World,1994,53.247344,60.675395,46.72641
World,1995,51.149136,58.432174,44.77669
World,1996,50.24958,57.51728000000001,43.90801
World,1997,48.92235,56.10058,42.653722
World,1998,47.500777,54.56759,41.331363
World,1999,45.67586,52.53559,39.681676
World,2000,44.373488,51.088710000000006,38.475
World,2001,43.125597,49.715665,37.24875
World,2002,42.013386,48.545527,36.136833
World,2003,40.928477,47.428122,35.077903
World,2004,39.984033,46.452475,34.19829
World,2005,38.86755,45.30568,33.149043
World,2006,37.449524,43.797645,31.81733
World,2007,35.952893,42.204708,30.440766000000004
World,2008,34.355253000000005,40.417475,29.00488
World,2009,32.711408,38.58463,27.55194
